Variable Name,Source File
postcode,monmouthshire_postcodes
property_type,monmouthshire_prices
new_build,monmouthshire_prices
estate_type,monmouthshire_prices
saon,monmouthshire_prices
paon,monmouthshire_prices
street,monmouthshire_prices
locality,monmouthshire_prices
town,monmouthshire_prices
district,monmouthshire_prices
county,monmouthshire_prices
transaction_category,monmouthshire_prices
linked_data_uri,monmouthshire_prices
in_use,monmouthshire_postcodes
latitude,monmouthshire_postcodes
longitude,monmouthshire_postcodes
easting,monmouthshire_postcodes
northing,monmouthshire_postcodes
grid_ref,monmouthshire_postcodes
ward,monmouthshire_postcodes
parish,monmouthshire_postcodes
introduced,monmouthshire_postcodes
terminated,monmouthshire_postcodes
altitude,monmouthshire_postcodes
country,monmouthshire_postcodes
last_updated,monmouthshire_postcodes
quality,monmouthshire_postcodes
lsoa_code,monmouthshire_postcodes
lsoa_name,monmouthshire_postcodes
property_id,constructed by Johnno
postcode_area,monmouthshire_postcodes
postcode_area_latitude,monmouthshire_postcodes
postcode_area_longitude,monmouthshire_postcodes
postcode_district,monmouthshire_postcodes
postcode_district_latitude,monmouthshire_postcodes
postcode_district_longitude,monmouthshire_postcodes
postcode_sector,monmouthshire_postcodes
postcode_sector_latitude,monmouthshire_postcodes
postcode_sector_longitude,monmouthshire_postcodes
building_type,constructed by Johnno
interpolated_price,constructed by Johnno
year,monmouthshire_prices
true_price,monmouthshire_prices
supermarkets_in_area,geolytix_supermarkets_locations
supermarkets_in_district,geolytix_supermarkets_locations
supermarkets_in_sector,geolytix_supermarkets_locations
distance_to_closest_supermarket,geolytix_supermarkets_locations
closest_store,geolytix_supermarkets_locations
number_stores_in_radius,geolytix_supermarkets_locations
