Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name
GL16 8PB,Yes,51.808116,-2.678258,353334,212382,SO533123,"Wyesham","Monmouth",1980-01-01,,195,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001599,"Monmouthshire 004F"
NP15 1AA,Yes,51.704427,-2.901793,337780,201017,SO377010,"Usk","Usk",1999-06-01,,26,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001597,"Monmouthshire 006F"
NP15 1AB,Yes,51.7028,-2.90333,337672,200837,SO376008,"Usk","Usk",1999-06-01,,19,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1AD,Yes,51.70038,-2.901857,337770,200567,SO377005,"Usk","Usk",1999-06-01,,18,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1AE,Yes,51.701553,-2.902517,337726,200698,SO377006,"Usk","Usk",1999-06-01,,17,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1AF,Yes,51.698373,-2.899835,337907,200342,SO379003,"Usk","Usk",1999-06-01,,17,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1AG,Yes,51.702156,-2.901754,337780,200764,SO377007,"Usk","Usk",1999-06-01,,19,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1AH,Yes,51.698195,-2.900714,337846,200323,SO378003,"Usk","Usk",1999-06-01,,17,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1AJ,Yes,51.701427,-2.901444,337800,200683,SO377006,"Usk","Usk",1999-06-01,,17,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1AL,Yes,51.700451,-2.903248,337674,200576,SO376005,"Usk","Usk",1999-06-01,,18,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001597,"Monmouthshire 006F"
NP15 1AN,Yes,51.699566,-2.903765,337637,200478,SO376004,"Usk","Usk",1999-06-01,,17,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1AP,Yes,51.698524,-2.902471,337725,200361,SO377003,"Usk","Usk",1999-06-01,,17,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1AQ,Yes,51.70069,-2.903701,337643,200603,SO376006,"Usk","Usk",1999-06-01,,18,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1AR,Yes,51.699654,-2.902783,337705,200487,SO377004,"Usk","Usk",1999-06-01,,17,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1AS,Yes,51.699485,-2.904907,337558,200470,SO375004,"Usk","Usk",1999-06-01,,17,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1AT,Yes,51.701316,-2.905674,337508,200674,SO375006,"Usk","Usk",1999-06-01,,18,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001597,"Monmouthshire 006F"
NP15 1AU,Yes,51.701017,-2.904828,337566,200640,SO375006,"Usk","Usk",1999-06-01,,19,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001597,"Monmouthshire 006F"
NP15 1AW,Yes,51.698152,-2.902811,337701,200320,SO377003,"Usk","Usk",1999-06-01,,17,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1AX,Yes,51.702513,-2.901639,337788,200804,SO377008,"Usk","Usk",1999-06-01,,19,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1AY,Yes,51.699661,-2.905446,337521,200490,SO375004,"Usk","Usk",2001-06-01,,17,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1AZ,Yes,51.69837,-2.90134,337803,200343,SO378003,"Usk","Usk",1999-06-01,,16,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1BA,Yes,51.700802,-2.905469,337521,200617,SO375006,"Usk","Usk",1999-06-01,,18,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001597,"Monmouthshire 006F"
NP15 1BB,Yes,51.700929,-2.900681,337852,200627,SO378006,"Usk","Usk",1999-06-01,,17,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1BD,Yes,51.70224,-2.900968,337834,200773,SO378007,"Usk","Usk",1999-06-01,,18,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1BE,Yes,51.703623,-2.898796,337986,200925,SO379009,"Usk","Usk",1999-06-01,,19,Wales,2021-05-21,"Within the building of the matched address closest to the postcode mean",W01001596,"Monmouthshire 006E"
NP15 1BF,No,51.703366,-2.902929,337700,200900,SO377008,"Usk","Usk",1999-04-01,2000-09-01,20,Wales,2021-05-21,"Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference",W01001596,"Monmouthshire 006E"
